Orpaillage
Extraction de calcaire industriel, de gypse et de craie
Extraction de tourbe
Filature et préparation de la laine
Moulinage et texturation de la soie et des textiles artificiels ou synthétiques
Tissage de l'industrie lainière
Tissage de soieries
Fabrication d'étoffes à mailles
Fabrication de textiles techniques et industriels
Fabrication de tulles, lacets et autres textiles n.c.a
Modéliste-styliste
Fabrication de vêtements masculins sur mesure
Fabrication de vêtements de dessus pour hommes et garçonnets
Fabrication de vêtements de dessus pour femmes et fillettes
Fabrication de layette
Modiste
Fabrication d'écharpes, cravates, foulards
Fabrication d'articles chaussants à mailles
Fabrication de lainages à la machine
Apprêt et tannage des cuirs; préparation et teinture des fourrures
Bourrellerie
Sciage et rabotage du bois
Tonnellerie
Fabrication de papier et de carton
Fabrication d'articles de papeterie
Fabrication de papiers peints
Production de brai et de coke de brai
Agglomération de la tourbe
Fabrication de colorants et de pigments
Enrichissement et retraitement de matières nucléaires
Fabrication d'autres produits organiques de base
Fabrication de produits azotés et d'engrais
Fabrication de caoutchouc synthétique
Fabrication de savons, détergents et produits d'entretien
Fabrication de parfums et de produits pour la toilette
Fabrication de colles
Fabrication d'autres produits chimiques n.c.a.
Fabrication de substances radioactives de diagnostic et de pansements
Fabrication de verre creux ou autres verres
Fabrication de vitraux
Fabrication de produits divers en terre cuite
Fabrication d'autres produits céramiques à usage technique
Fabrication d'autres produits céramiques
Fabrication d'éléments en plâtre pour la construction
Fabrication d'ouvrages en fibre-ciment
Fabrication de produits abrasifs
Fabrication d'autres produits minéraux non métalliques n.c.a.
Etirage à froid de barres
Tréfilage à froid
Production de métaux précieux
Métallurgie du plomb, du zinc ou de l'étain
Métallurgie des autres métaux non ferreux
Fonderie de métaux légers
Fabrication de radiateurs et de chaudières pour le chauffage central
Chaudronnerie nucléaire
Fabrication d'armes et de munitions
Forge, estampage, matriçage, métallurgie des poudres
Traitement et revêtement des métaux
Décolletage
Fabrication de moules et modèles ferrures
Fabrication d'articles en fils métalliques et de chaînes
Dinanderie
Autres fabrications d'articles de ménage
Fabrication de petits articles métalliques
Fabrication d'équipements de communication
Fabrication d'équipements d'aide à la navigation
Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques
Fabrication de matériels photographiques et cinématographiques
Fabrication de supports magnétiques et optiques
Fabrication de transformateurs électriques
Fabrication de piles et d'accumulateurs électriques
Fabrication de lampes
Fabrication de luminaires
Fabrication d'abat-jour
Fabrication d'appareils électroménagers
Fabrication d'appareils ménagers non électriques
Fabrication d'autres matériels électriques
Fabrication de pompes
Fabrication d'ascenseurs, monte-charges et escaliers mécaniques
Fabrication de machines de bureau (à l'exception des ordinateurs et équipements périphériques)
Fabrication d'équipements d'emballage et de conditionnement
Fabrication de machines pour la métallurgie
Fabrication de machines pour les industries textiles
Fabrication de machines pour le travail du caoutchouc ou des plastiques
Construction de voiturettes
Construction d'autres véhicules automobiles
Fabrication de carrosseries
Aménagement de véhicules
Fabrication de remorques et de semi-remorques
Fabrication de matériels électriques et électroniques automobiles
Construction de locomotives et d'autre matériel ferroviaire roulant
Construction de cellules d'aéronefs
Construction de motocycles
Fabrication d'équipements pour bicyclettes
Fabrication d'autres équipements de transport n.c.a.
Fabrication de meubles en rotin
Fabrication d'articles de joaillerie et de bijouterie
Fabrication de prothèses et orthèses podales
Fabrication d'articles de Paris, d'arts ou religieux
Taxidermie
Fabrication de produits manufacturés non classés ailleurs
Autres activités d'édition Edition d'imprimés fiduciaires, imprimés commerciaux, formulaires imprimés
Ennoblissement textile
Fabrication de linge de maison et d'articles d'ameublement
Fabrication de tapisserie à la main
Fabrication de bâches, lambrequins et autres articles en textile
Fabrication de tapis et moquettes
Fabrication de feutres
Fabrication de vêtements féminins sur mesure
Fabrication d'accessoires en cuir
Fabrication d'articles en fourrure
Fabrication de lainages à la main
Fabrication d'articles de maroquinerie
Sellerie
Fabrication de parquets assemblés
Vannerie, sparterie, travail de la paille
Fabrication d'emballages en papier
Fabrication d'articles en papier à usage sanitaire ou domestique
Fabrication d'autres articles en papier ou en carton
Sérigraphie de type imprimerie
Travaux de préparation d'impression
Graphisme-décoration
Activités graphiques n.c.a.
